,,SURVIVED,
1481123790,VqHTPcWziEXpnBpd,DECEASED,Vlad
1481124591,FpBOcKdwCirGshuX,DECEASED,#|h4x|_Gyu_
1481124746,xspxMrDcnuktKhik,DECEASED,outkill2405
1481124937,kSdfJghzMutkaJiH,DECEASED,OneDetective27
1481125847,RbOEfPSRySjscOat,DECEASED,Jeff
1481126053,WrPTKulrppIJrSFL,DECEASED,07suleyman
1481126188,gzTOWdizXvOLaVeS,SURVIVED,Pock88
1481126391,wDeHXtkVpcRJnIkN,DECEASED,#Martin
1481126902,kwRZBdIvctaZvcxf,DECEASED,PicayuneASBO74
1481127051,yyptKBJmhcUqFjcF,DECEASED,PicayuneASBO74
1481127418,LFOGriJSKKGuvnGr,DECEASED,Shadow
1481127670,MZZYHsoofDfWmlvi,DECEASED,Pock88
1481127767,CTmAgnkUiWLLIcXH,SURVIVED,xwarriorx
1481128663,BuaRIgRZLwfWXyPN,SURVIVED,(LS)Erkan
1481128804,OZNhbUYFZboVNLCM,DECEASED,(PL)Grzesiek007
1481128900,wojpcoaMEHuxlhyJ,SURVIVED,SamCruz0511
1481129228,TuTbQBIZuSEwysce,DECEASED,Martin268
1481129526,xTQlrZwmtOXkkBkz,DECEASED,CleverBoar4
1481129962,BMfwXuPfhpJgwrhd,DECEASED,SamCruz0511
1481130060,vOaLfbPGaSNkYltr,DECEASED,xwarriorx
1481130123,GGNKcnRUBwkptPyv,DECEASED,xMassFsN
1481130179,fPSKVjlZmMxBBauI,DECEASED,Pock88
1481130349,vXiNRzbXIxcfWdsJ,DECEASED,xXJesuProXx
1481130677,BGPbUxVgNjXMgpnc,DECEASED,Martin268
1481130785,GxKLsqwhPyrdIyFd,DECEASED,[W]HarleyQuinn
1481131131,OVojOtDhOkqTnfbF,DECEASED,jony
1481131403,HDyOHGuNoFYQRVzE,DECEASED,outkill2405
1481131589,ExVhacemlZcsBWSR,DECEASED,(PL)Grzesiek007
1481132014,BMphrwYayOfNqLVp,DECEASED,Martin268
1481132222,qcWpDbqWYcxZaLyn,DECEASED,#|h4x|_Gyu_
1481132505,TEtNwQsRvcRqlWgS,DECEASED,jamestkirk
1481132625,riKWwqEAxWXOOppL,DECEASED,PicayuneASBO74
1481132753,jTLlyyYZVKOcStsT,DECEASED,xwarriorx
1481132924,bdrBWsgzhaZCPfIL,DECEASED,worldones
1481133088,bBFslbzLpRzukPtq,DECEASED,xwarriorx
1481133160,klRGCujlBNfayDNR,DECEASED,Commander
1481133272,cuobDsFTdrEfYhHe,DECEASED,Pock88
1481133406,rhPOCfnyQxBbsDGw,DECEASED,[DNK]MarkyHarp74
1481133626,ERefGNBbmtiuKjlS,DECEASED,[DNK]MarkyHarp74
1481133688,GgHGDArhzjmKGnHf,DECEASED,AlexSseY
1481134180,SCMPPKRkVlzfSbsX,DECEASED,uhm
1481134447,jDQcPXlKijqShHqd,DECEASED,Daniel5579
1481134733,qxDItXCNIyZoSzOe,DECEASED,jony
1481134882,rzCtHpByVskXNBFb,DECEASED,Commander
1481134937,PMjjmrnQLUznIUxA,DECEASED,Daniel5579
1481135034,ZRrdpcqSmlwdIQnc,DECEASED,worldones
1481135477,QGcMbITeGiDjxcfI,DECEASED,worldones
1481135635,TzxsoEuHjGVTjlvv,DECEASED,Commander
1481135690,NJjFaCwotCMiGDcr,SURVIVED,Martin268
1481135774,nGjnLCWDiVpPBzvc,DECEASED,Frank
1481135903,qDmvQUCFGIQZRNCB,SURVIVED,ObeisantDhow27
1481136182,ADZnrKEvRpIqDUCo,DECEASED,jony
1481136384,vMQtmFLqXJPUudSz,DECEASED,worldones
1481136564,gDMJJodFIkSgGTZA,DECEASED,Daniel5579
1481136660,iYgZaBuohhNausCO,DECEASED,#Martin
1481137126,zAVbabtvhxMLQZpo,DECEASED,R1-one
