"AMD Radeon (TM) R9 200 Series",3,-1
"NVIDIA GeForce 9400 GT",2014,
"Intel(R) HD Graphics 4000",5,5
"NVIDIA GeForce GT 645M",2017,
"Intel(R)  946GZ Express Chipset Family",5,5
"NVIDIA GeForce GT 430",2019,
"NVIDIA GeForce GT 730",2016,
"AMD Radeon(TM) HD 6520G",3,-1
"ATI Radeon 3100 Graphics",3,-1
"AMD Radeon HD 6320 Graphics",3,-1
"AMD Radeon HD 6310 Graphics",3,-1
"Mobile Intel(R) 945 Express Chipset Family",5,5
"NVIDIA GeForce 7025 / NVIDIA nForce 630a",2016,
"NVIDIA GeForce 6150SE nForce 430",2017,
"NVIDIA GeForce GT 620M",2017,
"AMD Radeon R7 200 Series",3,-1
"AMD Radeon HD 6800 Series",3,-1
"NVIDIA GeForce 8600 GT",2015,
"ATI Radeon HD 5450",3,-1
"NVIDIA GeForce GT 630",2017,
"NVIDIA GeForce 7050 PV / NVIDIA nForce 630a (Microsoft Corporation - WDDM)",2016,
"AMD Radeon HD 6470M",3,-1
"AMD Radeon R5 220",3,-1
"NVIDIA GeForce GT 610",2017,
"NVIDIA GeForce 6150SE nForce 430 (Microsoft Corporation - WDDM)",2017,
"AMD 760G",3,-1
"AMD Radeon R9 200 Series",3,-1
"NVIDIA GeForce 6100 nForce 405",2017,
"Intel(R) 82945G Express Chipset Family",5,5
"ATI Radeon HD 4300/4500 Series",3,-1
"NVIDIA GeForce GTX 750 Ti",2016,
"AMD Radeon HD 7480D",3,-1
"AMD Radeon HD 6570",3,-1
"ATI Mobility Radeon HD 4250",3,-1
"NVIDIA GeForce GTX 660 Ti",2017,
"NVIDIA GeForce GT 220",2021,
"NVIDIA GeForce GTX 260",2021,
"NVIDIA GeForce 9600 GT",2014,
"AMD Radeon HD 7470M",3,-1
"NVIDIA GeForce GT 640",2017,
"NVIDIA GeForce GTX 950",2014,
"NVIDIA GeForce GTX 1070",2022,
"AMD Radeon HD 8470D",3,-1
"NVIDIA GeForce 920M",2014,
"Intel(R) HD Graphics 3000",5,5
"NVIDIA GeForce GT 540M",2018,
"NVIDIA GeForce GT 240",2021,
"ATI Radeon HD 5400 Series",3,-1
"ATI Mobility Radeon HD 5470",3,-1
"Intel(R) HD Graphics 510",5,5
"Intel(R)  Q965/Q963 Express Chipset Family (Microsoft Corporation - WDDM 1.0)",5,5
"NVIDIA GeForce GT 540M",2018,
"Intel(R) HD Graphics 5500",5,5
"ATI Radeon HD 3200 Graphics",3,-1
"ATI Radeon HD 4250",3,-1
"ATI Radeon 2100",3,-1
"NVIDIA GeForce 210",2021,
"AMD Radeon HD 8240",3,-1
"AMD Radeon HD 6250 Graphics",3,-1
"Intel(R) Graphics Media Accelerator 3150",5,5
"Intel(R) Graphics Media Accelerator 3600 Series",5,5
"Mobile Intel(R) 965 Express Chipset Family (Microsoft Corporation - WDDM 1.1)",5,5
"NVIDIA GeForce GTX 950M",2014,
"Intel(R) HD Graphics 520",5,5
"NVIDIA GeForce GT 640",2017,
"NVIDIA NVS 5200M",2018,
"NVIDIA GeForce 9300 GE",2014,
"AMD Radeon (TM) R7 370 Series",3,-1
"NVIDIA GeForce 940MX",2014,
"Intel(R) HD Graphics 4400",5,5
"ATI Mobility Radeon HD 4200 Series",3,-1
"NVIDIA GeForce 9800 GT",2014,
